YEAR,STATE,A_SPCRA,A_POSBAC,A_DIST,A_DROWSY,WRK_ZONE,WEATHER,DRIVER_AGE_BUCKET,FATALS
2000,1,1,1,1,2,0,0,Adult (25-64),1
2000,1,1,1,2,2,0,0,Adult (25-64),67
2000,1,1,1,2,2,0,0,Teen (15-20),14
2000,1,1,1,2,2,0,0,Young Adult (21-24),16
2000,1,1,1,2,2,0,1,Adult (25-64),6
2000,1,1,1,2,2,0,1,Teen (15-20),1
2000,1,1,1,2,2,0,1,Young Adult (21-24),2
2000,1,1,1,2,2,1,0,Adult (25-64),3
2000,1,1,2,1,2,0,0,Adult (25-64),1
2000,1,1,2,2,1,0,0,Young Adult (21-24),1
2000,1,1,2,2,2,0,0,Adult (25-64),12
2000,1,1,2,2,2,0,0,Senior (65+),1
2000,1,1,2,2,2,0,0,Teen (15-20),15
2000,1,1,2,2,2,0,0,Young Adult (21-24),6
2000,1,1,2,2,2,0,1,Adult (25-64),4
2000,1,1,2,2,2,0,1,Teen (15-20),1
2000,1,1,2,2,2,0,1,Young Adult (21-24),1
2000,1,1,2,2,2,3,0,Teen (15-20),1
2000,1,1,3,1,2,0,0,Teen (15-20),1
2000,1,1,3,1,2,0,0,Young Adult (21-24),2
2000,1,1,3,2,1,0,0,Adult (25-64),2
2000,1,1,3,2,1,0,0,Young Adult (21-24),4
2000,1,1,3,2,2,0,0,Adult (25-64),74
2000,1,1,3,2,2,0,0,Senior (65+),7
2000,1,1,3,2,2,0,0,Teen (15-20),53
2000,1,1,3,2,2,0,0,Young Adult (21-24),29
2000,1,1,3,2,2,0,1,Adult (25-64),23
2000,1,1,3,2,2,0,1,Senior (65+),1
2000,1,1,3,2,2,0,1,Teen (15-20),11
2000,1,1,3,2,2,0,1,Young Adult (21-24),4
2000,1,1,3,2,2,1,0,Adult (25-64),2
2000,1,1,3,2,2,1,0,Teen (15-20),3
2000,1,2,1,1,2,0,0,Adult (25-64),1
2000,1,2,1,2,1,0,0,Adult (25-64),5
2000,1,2,1,2,1,0,0,Young Adult (21-24),2
2000,1,2,1,2,2,0,0,Adult (25-64),58
2000,1,2,1,2,2,0,0,Senior (65+),6
2000,1,2,1,2,2,0,0,Teen (15-20),7
2000,1,2,1,2,2,0,0,Young Adult (21-24),11
2000,1,2,1,2,2,0,1,Adult (25-64),8
2000,1,2,1,2,2,0,1,Teen (15-20),3
2000,1,2,1,2,2,0,1,Young Adult (21-24),1
2000,1,2,1,2,2,1,0,Adult (25-64),1
2000,1,2,1,2,2,1,0,Teen (15-20),1
2000,1,2,2,1,2,0,0,Adult (25-64),1
2000,1,2,2,1,2,0,0,Teen (15-20),1
2000,1,2,2,2,1,0,0,Adult (25-64),7
2000,1,2,2,2,1,0,0,Senior (65+),2
2000,1,2,2,2,1,0,0,Teen (15-20),4
2000,1,2,2,2,1,0,1,Adult (25-64),1
2000,1,2,2,2,1,1,0,Adult (25-64),1
2000,1,2,2,2,2,0,0,Adult (25-64),36
2000,1,2,2,2,2,0,0,Senior (65+),12
2000,1,2,2,2,2,0,0,Teen (15-20),8
2000,1,2,2,2,2,0,0,Young Adult (21-24),9
2000,1,2,2,2,2,0,1,Adult (25-64),4
2000,1,2,2,2,2,0,1,Senior (65+),3
2000,1,2,2,2,2,0,1,Young Adult (21-24),2
2000,1,2,2,2,2,0,99,Senior (65+),1
2000,1,2,2,2,2,1,0,Senior (65+),1
2000,1,2,3,1,2,0,0,Adult (25-64),5
2000,1,2,3,1,2,0,0,Senior (65+),2
2000,1,2,3,1,2,0,0,Teen (15-20),3
2000,1,2,3,1,2,0,0,Young Adult (21-24),1
2000,1,2,3,2,1,0,0,Adult (25-64),20
2000,1,2,3,2,1,0,0,Senior (65+),2
2000,1,2,3,2,1,0,0,Teen (15-20),8
2000,1,2,3,2,1,0,0,Young Adult (21-24),6
2000,1,2,3,2,1,0,1,Teen (15-20),1
2000,1,2,3,2,1,0,1,Young Adult (21-24),1
2000,1,2,3,2,1,1,0,Teen (15-20),1
2000,1,2,3,2,2,0,0,Adult (25-64),179
2000,1,2,3,2,2,0,0,Senior (65+),61
2000,1,2,3,2,2,0,0,Teen (15-20),72
2000,1,2,3,2,2,0,0,Young Adult (21-24),34
2000,1,2,3,2,2,0,1,Adult (25-64),15
2000,1,2,3,2,2,0,1,Senior (65+),3
2000,1,2,3,2,2,0,1,Teen (15-20),5
2000,1,2,3,2,2,0,1,Young Adult (21-24),5
2000,1,2,3,2,2,1,0,Adult (25-64),4
2000,1,2,3,2,2,1,0,Teen (15-20),1
2000,1,2,3,2,2,1,0,Young Adult (21-24),1
2000,2,1,1,1,2,0,0,Teen (15-20),1
2000,2,1,1,1,2,0,1,Young Adult (21-24),6
2000,2,1,1,2,2,0,0,Adult (25-64),7
2000,2,1,1,2,2,0,0,Teen (15-20),5
2000,2,1,1,2,2,0,1,Adult (25-64),3
2000,2,1,1,2,2,0,1,Teen (15-20),2
2000,2,1,1,2,2,4,1,Teen (15-20),1
2000,2,1,2,2,2,0,0,Adult (25-64),2
2000,2,1,2,2,2,0,0,Teen (15-20),2
2000,2,1,2,2,2,0,0,Young Adult (21-24),1
2000,2,1,2,2,2,0,1,Teen (15-20),1
2000,2,1,3,1,2,0,0,Adult (25-64),2
2000,2,1,3,1,2,0,0,Senior (65+),1
2000,2,1,3,2,2,0,0,Adult (25-64),3
2000,2,1,3,2,2,0,0,Senior (65+),2
2000,2,1,3,2,2,0,0,Teen (15-20),6
2000,2,1,3,2,2,0,0,Young Adult (21-24),2
2000,2,1,3,2,2,0,99,Adult (25-64),1
2000,2,1,3,2,2,4,0,Teen (15-20),1
2000,2,2,1,1,2,0,0,Adult (25-64),1
2000,2,2,1,1,2,0,0,Senior (65+),1
2000,2,2,1,1,2,0,1,Adult (25-64),2
2000,2,2,1,2,2,0,0,Adult (25-64),4
2000,2,2,1,2,2,0,0,Teen (15-20),4
2000,2,2,1,2,2,0,0,Young Adult (21-24),1
2000,2,2,1,2,2,0,99,Adult (25-64),1
2000,2,2,2,1,2,0,0,Adult (25-64),3
2000,2,2,2,1,2,0,0,Senior (65+),1
2000,2,2,2,1,2,0,0,Teen (15-20),1
2000,2,2,2,2,2,0,0,Adult (25-64),10
2000,2,2,2,2,2,0,0,Senior (65+),1
2000,2,2,2,2,2,0,0,Teen (15-20),1
2000,2,2,2,2,2,0,0,Young Adult (21-24),1
2000,2,2,3,1,2,0,0,Adult (25-64),1
2000,2,2,3,1,2,0,0,Senior (65+),1
2000,2,2,3,1,2,0,0,Teen (15-20),3
2000,2,2,3,2,1,0,0,Adult (25-64),2
2000,2,2,3,2,1,0,0,Teen (15-20),1
2000,2,2,3,2,1,0,0,Young Adult (21-24),1
2000,2,2,3,2,2,0,0,Adult (25-64),7
2000,2,2,3,2,2,0,0,Senior (65+),6
2000,2,2,3,2,2,0,1,Adult (25-64),2
2000,2,2,3,2,2,0,99,Adult (25-64),1
2000,4,1,1,1,2,0,0,Teen (15-20),1
2000,4,1,1,2,1,0,0,Adult (25-64),1
2000,4,1,1,2,1,0,0,Teen (15-20),1
2000,4,1,1,2,1,0,0,Young Adult (21-24),3
2000,4,1,1,2,2,0,0,Adult (25-64),38
2000,4,1,1,2,2,0,0,Senior (65+),3
2000,4,1,1,2,2,0,0,Teen (15-20),13
2000,4,1,1,2,2,0,0,Young Adult (21-24),27
2000,4,1,1,2,2,0,1,Adult (25-64),4
2000,4,1,1,2,2,1,0,Teen (15-20),1
2000,4,1,1,2,2,4,0,Teen (15-20),3
2000,4,1,2,2,1,0,0,Teen (15-20),1
2000,4,1,2,2,2,0,0,Adult (25-64),11
2000,4,1,2,2,2,0,0,Senior (65+),1
2000,4,1,2,2,2,0,0,Teen (15-20),6
2000,4,1,2,2,2,0,0,Young Adult (21-24),4
2000,4,1,2,2,2,0,1,Adult (25-64),5
2000,4,1,2,2,2,0,1,Young Adult (21-24),1
2000,4,1,2,2,2,1,0,Adult (25-64),1
2000,4,1,2,2,2,2,0,Adult (25-64),1
2000,4,1,3,1,1,1,0,Senior (65+),1
2000,4,1,3,1,2,0,0,Adult (25-64),2
2000,4,1,3,1,2,0,0,Senior (65+),1
2000,4,1,3,1,2,0,1,Adult (25-64),1
